 *********************************************
   Lab Energy =  90.0 MeV

 pcm = 1.042 f-1
 half width of pv interval= 0.500
 number of points in the intervals =   3   6  15   6
 boundary points of the regions:  0.   0.54157   1.54157  30.00000
 scale for gauss laguerre quadrature  1.0
 low and high momentum cutoffs=     0.0   100.0

 T  s l l" j   deltal    deltalp    epsilon        det

 1   0 0   0    26.31837                       0.51E+09  0.00E+00
 1   1 1   0    10.61055                      -0.27E+09  0.00E+00
 0   0 1   1   -14.92207                      -0.11E+11  0.00E+00
 1   1 1   1   -12.57424                       0.24E+09  0.00E+00
 0   1 2 0 1   -11.78706  45.53547   2.05473   0.77E+20  0.00E+00
 1   0 2   2     3.57991                       0.14E+08  0.00E+00
 0   1 2   2    17.12656                       0.99E+09  0.00E+00
 1   1 3 1 2     0.73161  10.41308  -2.62031  -0.17E+14  0.00E+00
 0   0 3   3    -2.20225                       0.13E+08  0.00E+00
 1   1 3   3    -1.47335                       0.15E+07  0.00E+00
 0   1 4 2 3    -0.86477   1.05209   3.37735   0.55E+17  0.00E+00
 1   0 4   4     0.40465                       0.91E+06  0.00E+00
 0   1 4   4     2.01274                       0.93E+08  0.00E+00
 1   1 5 3 4     0.09560   0.44702  -0.51308   0.29E+11  0.00E+00
 0   0 5   5    -0.47992                       0.13E+07  0.00E+00
 1   1 5   5    -0.28323                       0.76E+05  0.00E+00
 0   1 6 4 5    -0.10789  -0.14995   0.65623   0.10E+15  0.00E+00
 1   0 6   6     0.08427                       0.99E+05  0.00E+00
 0   1 6   6     0.37004                       0.93E+07  0.00E+00
